Вайтран | Вайтран | X: 19855.226563, Y: -7422.510254, Z: -3582.619385, IconType: 40 | 0x162CE
Скайрим | Дрифтшейд - Приют | X: 55736.636719, Y: 79560.289063, Z: -5015.812012, IconType: 6 | 0x1623B
Скайрим | Душник-Йал | X: -145542.656250, Y: -22742.330078, Z: -1052.322876, IconType: 28 | 0x1623E
Скайрим | Железное убежище | X: -92048.539063, Y: 112676.585938, Z: -3038.459717, IconType: 30 | 0xEF543
Скайрим | Желчная шахта | X: -78224.078125, Y: -40253.722656, Z: 2932.311279, IconType: 15 | 0x16275
Скайрим | Заброшенная тюрьма | X: 95682.445313, Y: -15213.149414, Z: -10800.289063, IconType: 22 | 0xECF49
Скайрим | Заброшенная хижина | X: -34081.843750, Y: 93829.609375, Z: -13859.016602, IconType: 30 | 0x5254D
Скайрим | Забытая пещера | X: 87222.710938, Y: 50363.601563, Z: -6457.161133, IconType: 4 | 0x16248
Скайрим | Закатная расселина | X: 46034.058594, Y: 59378.507813, Z: -7431.844238, IconType: 4 | 0x1623F
Скайрим | Зал Гейрмунда | X: 89472.656250, Y: -64540.472656, Z: 11001.942383, IconType: 7 | 0x16255
Скайрим | Зал Дозора | X: 20037.636719, Y: 67241.617188, Z: -8123.602539, IconType: 30 | 0xC342A
Скайрим | Замок Волкихар | X: -177218.921875, Y: 147389.296875, Z: -12471.963867, IconType: 6 | 0x200BA4D
Скайрим | Зуб Фалдара | X: 145743.562500, Y: -92383.421875, Z: 12444.580078, IconType: 6 | 0x16242
Скайрим | Ингвильд | X: 57393.285156, Y: 115440.156250, Z: -11716.873047, IconType: 7 | 0x162D3
Скайрим | Инеевый маяк | X: 64339.894531, Y: 88970.593750, Z: -4945.322266, IconType: 27 | 0x16253
Скайрим | Иркнтанд | X: 77330.648438, Y: 26481.134766, Z: -6476.379395, IconType: 8 | 0x1626B
Скайрим | Истмарк - Имперский лагерь | X: 174721.750000, Y: -19865.078125, Z: -1928.000000, IconType: 16 | 0x95A08
Скайрим | Кагрензел | X: 191763.437500, Y: -29428.789063, Z: 8280.257813, IconType: 8 | 0x80E56
Скайрим | Каирн Мятежника | X: -109696.000000, Y: 23216.000000, Z: -26.687366, IconType: 4 | 0xB629F
Скайрим | Каирн Холдира | X: -42999.378906, Y: -96533.421875, Z: 137.055573, IconType: 4 | 0x16260
Скайрим | Каменные холмы | X: -7283.331543, Y: 64266.828125, Z: -11461.728516, IconType: 15 | 0x177E4
Скайрим | Камень Атронаха | X: 130939.140625, Y: -28770.111328, Z: -10558.592773, IconType: 18 | 0xE0F4C
Скайрим | Камень Башни | X: 71827.421875, Y: 106133.609375, Z: -11041.476563, IconType: 18 | 0xE0ED5
Скайрим | Камень Змея | X: 151704.281250, Y: 116451.328125, Z: -12614.274414, IconType: 18 | 0xE0F69
Скайрим | Камень Коня | X: -96269.960938, Y: 115525.695313, Z: -4178.976074, IconType: 18 | 0x1BAC0
Скайрим | Камень Леди | X: -32442.310547, Y: -55637.394531, Z: 719.029907, IconType: 18 | 0xDED90
Скайрим | Камень Лорда | X: 5821.234863, Y: 56397.972656, Z: 177.579910, IconType: 18 | 0xE0F47
Скайрим | Камень Любовника | X: -150412.828125, Y: 20214.943359, Z: -3143.414795, IconType: 18 | 0x1BABB
Скайрим | Камень Ритуала | X: 50863.035156, Y: -5304.166504, Z: -1391.603271, IconType: 18 | 0xDD9D5
Скайрим | Камень Тени | X: 171146.156250, Y: -110243.078125, Z: 12722.552734, IconType: 18 | 0xD3935
Скайрим | Камень Ученика | X: -55914.277344, Y: 79726.093750, Z: -13908.778320, IconType: 18 | 0x1BAB9
Скайрим | Камень Шора | X: 162923.750000, Y: -60529.570313, Z: 7162.237793, IconType: 2 | 0x177D7
Скайрим | Камнепадная пещера | X: 145918.843750, Y: -68556.679688, Z: 10807.552734, IconType: 4 | 0xF52D8
Скайрим | Камни Вейнон | X: 44570.140625, Y: 46989.292969, Z: -8945.832031, IconType: 11 | 0xBC0AA
Скайрим | Камни-хранители | X: 2806.979736, Y: -59215.847656, Z: 1436.489746, IconType: 18 | 0x1BABD
Скайрим | Каприз Хелы | X: 51131.503906, Y: 124633.031250, Z: -14000.000000, IconType: 9 | 0x162AC
Скайрим | Картвастен | X: -132747.609375, Y: 38548.574219, Z: -6193.740234, IconType: 2 | 0x1779A
Скайрим | Картспайр | X: -132336.828125, Y: 6655.897461, Z: -7162.832031, IconType: 5 | 0x1626C
Скайрим | Коллегия Винтерхолда | X: 116258.921875, Y: 111530.132813, Z: -7719.998535, IconType: 45 | 0x46BDF
Скайрим | Конюшни Маркарта | X: -171096.812500, Y: 6921.515625, Z: -3936.776367, IconType: 21 | 0xE962F
Скайрим | Корваньюнд | X: 55348.703125, Y: 34571.230469, Z: -8172.377930, IconType: 7 | 0x16224
Скайрим | Красноводное логово | X: 135828.859375, Y: -75774.843750, Z: 11551.756836, IconType: 30 | 0x200777E
Скайрим | Красный перевал | X: 21856.072266, Y: 79660.218750, Z: -10184.713867, IconType: 29 | 0x162A0
Скайрим | Кратер Драконий Зуб | X: -141731.937500, Y: 50230.082031, Z: -3654.329102, IconType: 12 | 0x16230
Скайрим | Крепость Треснувший Бивень | X: -55069.851563, Y: -87685.695313, Z: -2352.124268, IconType: 6 | 0x1625B
Скайрим | Крепость Феллглоу | X: 63808.289063, Y: 9247.288086, Z: -817.955505, IconType: 6 | 0x16244
Скайрим | Крипта Ночной Пустоты | X: 5444.956543, Y: 64838.246094, Z: -4945.424316, IconType: 4 | 0x2002F6F
Скайрим | Кристаллическая пещера | X: 161077.421875, Y: -119788.992188, Z: 11427.208984, IconType: 4 | 0x16229
Скайрим | Кровавый Трон | X: 335.924683, Y: -110710.484375, Z: 16023.654297, IconType: 6 | 0x16EB2
Скайрим | Курган Железный | X: 70652.492188, Y: 57152.882813, Z: -4068.539307, IconType: 7 | 0x3F076
Скайрим | Курган Ингола | X: 157767.078125, Y: 47259.234375, Z: -13372.471680, IconType: 7 | 0x16271
Скайрим | Курган Погребальный Огонь | X: 79475.867188, Y: -62330.433594, Z: 11600.000000, IconType: 7 | 0x6CCC8
Скайрим | Курган Фринхильд | X: 160248.562500, Y: -1559.475220, Z: -5073.386719, IconType: 7 | 0x1C000801
Скайрим | Лабиринтиан | X: -18640.750000, Y: 42158.875000, Z: -7848.598145, IconType: 7 | 0x1626E
Скайрим | Лагерь Анги | X: -26613.970703, Y: -104900.117188, Z: 12539.690430, IconType: 30 | 0xCF27D
Скайрим | Лагерь Арциус | X: 105424.000000, Y: 45882.000000, Z: -5791.000000, IconType: 5 | 0x1C0008FD
Скайрим | Лагерь Береговая стража | X: -87370.000000, Y: 147786.000000, Z: -13781.000000, IconType: 5 | 0x1C00090B
Скайрим | Лагерь Береговой камень | X: -64834.320313, Y: -61406.656250, Z: 237.519974, IconType: 5 | 0x1C0008BA
Скайрим | Лагерь Березовый ствол | X: 136252.000000, Y: -103944.000000, Z: 11115.000000, IconType: 5 | 0x1C0008EA
Скайрим | Лагерь Болотный лишайник | X: -119334.023438, Y: 66370.312500, Z: -9795.109375, IconType: 5 | 0x1C0008FA
Скайрим | Лагерь Бронин | X: 124846.000000, Y: 143840.000000, Z: -13775.000000, IconType: 5 | 0x1C00090D
Скайрим | Лагерь Валлус | X: 156850.328125, Y: 68404.437500, Z: -13554.461914, IconType: 5 | 0x1C000903
Скайрим | Лагерь Ветер с озера | X: 111016.000000, Y: 1030.000000, Z: -11343.000000, IconType: 5 | 0x1C0008DB
Скайрим | Лагерь Говорящий Камень | X: -70775.609375, Y: 21483.232422, Z: -5596.667969, IconType: 29 | 0x162C3
Скайрим | Лагерь Желтая изгородь | X: 58058.984375, Y: 11690.460938, Z: -1590.331665, IconType: 5 | 0x1C0008E4
Скайрим | Лагерь Земельный дозор | X: -71903.031250, Y: -4282.519043, Z: -4448.216797, IconType: 5 | 0x1C0008D3
Скайрим | Лагерь Йолфинганд | X: -45217.000000, Y: 21232.000000, Z: -5514.000000, IconType: 5 | 0x1C000901
Скайрим | Лагерь Картспайр | X: -129040.000000, Y: 9360.000000, Z: -7984.000000, IconType: 5 | 0xF6698
Скайрим | Лагерь Клеверовая изгородь | X: -103980.000000, Y: -35658.000000, Z: 1261.000000, IconType: 5 | 0x1C000907
Скайрим | Лагерь Ледник | X: 160256.000000, Y: 87958.000000, Z: -13846.000000, IconType: 5 | 0x1C000900
Скайрим | Лагерь Мертвая капля | X: -131808.421875, Y: 127753.734375, Z: -13637.490234, IconType: 5 | 0x1C00091F
Скайрим | Лагерь Обломки корабля | X: 107758.437500, Y: 128530.726563, Z: -13454.839844, IconType: 5 | 0x1C000910
Скайрим | Лагерь Перциус | X: -150378.343750, Y: 70912.500000, Z: -6013.382813, IconType: 5 | 0x1C000917
Скайрим | Лагерь Речной берег | X: 132803.828125, Y: -85266.695313, Z: 11019.182617, IconType: 5 | 0x1C0008DF
Скайрим | Лагерь Рыжая лиса | X: -85978.000000, Y: -16104.000000, Z: -394.000000, IconType: 5 | 0x1C000921
Скайрим | Лагерь Сломанная Нога | X: 111747.703125, Y: -14306.344727, Z: -11212.772461, IconType: 29 | 0xECF86
Скайрим | Лагерь Смотрящего | X: 130182.578125, Y: 56343.734375, Z: -5472.979980, IconType: 5 | 0x1C0008E9
Скайрим | Лагерь Снегопада | X: -128111.726563, Y: 75372.648438, Z: -4470.825684, IconType: 5 | 0x1C0008C2
Скайрим | Лагерь Сонное Дерево | X: -39379.316406, Y: -18163.833984, Z: -5478.756348, IconType: 29 | 0x162B8
Скайрим | Лагерь Тихих Лун | X: 2903.726563, Y: 15858.529297, Z: -4342.332520, IconType: 7 | 0x162B4
Скайрим | Лагерь Утреннее поле | X: -25521.935547, Y: -69295.718750, Z: 1538.380615, IconType: 5 | 0x1C0008F1
Скайрим | Лагерь Холодная скала | X: -130631.000000, Y: 108126.000000, Z: -6492.000000, IconType: 5 | 0x1C0008D7
Скайрим | Лагерь Хьолдаар | X: -29904.126953, Y: 48246.925781, Z: -10169.003906, IconType: 5 | 0x1C0008EC
Скайрим | Лагерь Чистых родников | X: 16500.277344, Y: 18918.968750, Z: -4177.377441, IconType: 5 | 0x16261
Скайрим | Лагерь Чужак | X: -61024.925781, Y: 17892.355469, Z: -6307.073242, IconType: 5 | 0x1C0008F7
Скайрим | Ларгашбур | X: 135308.031250, Y: -110597.000000, Z: 11141.812500, IconType: 28 | 0x1626F
Скайрим | Лесной оплот | X: -132981.609375, Y: 80260.656250, Z: -4936.582031, IconType: 7 | 0x1622F
Скайрим | Лесопилка Пирожок | X: 109029.093750, Y: -6468.941895, Z: -13170.471680, IconType: 14 | 0x1636D
Скайрим | Логово Моварта | X: -31903.548828, Y: 77294.687500, Z: -13507.912109, IconType: 4 | 0x16256
Скайрим | Логово плута | X: -46078.734375, Y: 2081.433350, Z: -6457.218262, IconType: 4 | 0x15D4D
Скайрим | Логово Сольюнда | X: -117661.101563, Y: 6256.961914, Z: -5419.403809, IconType: 15 | 0x162BB
Скайрим | Лощина Сломанный Шлем | X: 191590.828125, Y: -109394.968750, Z: 10859.894531, IconType: 4 | 0x16219
Скайрим | Медоварня Хоннинга | X: 30929.933594, Y: -17710.779297, Z: -4360.710938, IconType: 3 | 0x38593
Скайрим | Медовая пещера | X: 79467.500000, Y: -76043.882813, Z: 11012.575195, IconType: 4 | 0x16267
Скайрим | Место крушения Гордости Тель Воса | X: 137922.921875, Y: 107238.796875, Z: -13470.590820, IconType: 9 | 0x162AE
Скайрим | Место крушения Зимней войны | X: 171429.015625, Y: 65473.441406, Z: -11905.296875, IconType: 9 | 0x162AF
Скайрим | Место крушения Соленого молота | X: -2369.132324, Y: 119364.375000, Z: -13169.835938, IconType: 9 | 0x162AB
Скайрим | Мзинчалефт | X: 6983.825195, Y: 83956.078125, Z: -10950.973633, IconType: 8 | 0x1628B
Скайрим | Мзулфт | X: 167807.671875, Y: -13281.935547, Z: -3865.994141, IconType: 8 | 0x1628C
Скайрим | Могила чемпиона | X: 191825.218750, Y: -65998.820313, Z: 11014.728516, IconType: 7 | 0x1D00CD93
Скайрим | Монумент Гьюкара | X: -62275.785156, Y: -9459.036133, Z: -5901.354980, IconType: 11 | 0xDED8E
Скайрим | Мор Казгур | X: -151658.453125, Y: 81846.960938, Z: -5580.788574, IconType: 28 | 0x16287
Скайрим | Морвунскар | X: 119160.632813, Y: 19394.396484, Z: -10174.067383, IconType: 6 | 0x16288
Скайрим | Морозная пещера | X: -143621.078125, Y: 105373.640625, Z: -7367.024902, IconType: 4 | 0x162A1
Скайрим | Морфал | X: -38639.742188, Y: 66734.296875, Z: -13244.291992, IconType: 48 | 0x177B0
Скайрим | Мрачный Предел | X: -100254.296875, Y: -24965.623047, Z: -5282.282715, IconType: 4 | 0x16258
Скайрим | Мшистая пещера | X: -56529.453125, Y: -49859.121094, Z: 1304.000000, IconType: 4 | 0x16289
Скайрим | Наблюдательный пост Четыре Черепа | X: -132699.812500, Y: 22432.119141, Z: -4204.973633, IconType: 32 | 0xB23A7
Скайрим | Нарзулбур | X: 158053.625000, Y: 10036.131836, Z: -3723.545410, IconType: 28 | 0x1628D
Скайрим | Неприметное убежище | X: 99977.406250, Y: 78693.796875, Z: -5431.863281, IconType: 4 | 0x162B3
Скайрим | Нижняя Отвесная нора | X: -130864.289063, Y: 120263.757813, Z: -13663.030273, IconType: 4 | 0xF4FE7
Скайрим | Нилхейм | X: 100682.921875, Y: -58661.613281, Z: 11857.967773, IconType: 31 | 0x1628F
Скайрим | Нора Зеленый Ручей | X: -27123.597656, Y: 15155.514648, Z: -6969.790527, IconType: 10 | 0x16269
Скайрим | Обитель Раннвейг | X: -47295.457031, Y: 26143.576172, Z: -3912.371826, IconType: 7 | 0x1629B
Скайрим | Одинокая скала | X: 36185.921875, Y: -69266.570313, Z: 13044.341797, IconType: 11 | 0x16292
Скайрим | Озерный утес | X: -140947.843750, Y: -3609.046387, Z: -7280.979004, IconType: 4 | 0x1629E
Скайрим | Оплот Друадах | X: -153779.796875, Y: 58854.894531, Z: -5961.328613, IconType: 5 | 0x1623C
Скайрим | Оплот Змеиный Утес | X: -96798.429688, Y: -5846.110352, Z: 1959.988037, IconType: 5 | 0x162CC
Скайрим | Оплот Красный Орел | X: -125628.226563, Y: 15531.676758, Z: -4911.297363, IconType: 4 | 0x1623D
Скайрим | Оплот Потерянная Долина | X: -89949.945313, Y: -36677.398438, Z: 1867.571289, IconType: 7 | 0x16274
Скайрим | Оплот Прыжок Брюсы | X: -124953.648438, Y: 63580.449219, Z: -8979.554688, IconType: 4 | 0x1621C
Скайрим | Оротхейм | X: -67686.007813, Y: 36949.390625, Z: -8254.665039, IconType: 4 | 0x16291
Скайрим | Осенняя поляна | X: 153153.234375, Y: -79512.031250, Z: 9558.506836, IconType: 23 | 0x1620C
Скайрим | Осенняя сторожевая башня | X: 84059.257813, Y: -99526.070313, Z: 15997.827148, IconType: 12 | 0x16233
Скайрим | Отвесная нора | X: -128561.062500, Y: 114960.882813, Z: -10558.616211, IconType: 4 | 0x162BF
Скайрим | Откос Крегвеллоу | X: 155934.031250, Y: -2257.889404, Z: -6263.456055, IconType: 4 | 0x16227
Скайрим | Охотничий привал | X: -56671.726563, Y: -54925.417969, Z: 1559.146606, IconType: 30 | 0xF52B2
Скайрим | Паровой лагерь | X: 143525.109375, Y: -9970.845703, Z: -9515.915039, IconType: 29 | 0x1623A
Скайрим | Перевал Странника | X: 76030.859375, Y: 62787.890625, Z: -806.670898, IconType: 24 | 0xC2EFA
Скайрим | Переправа Глубинного Народа | X: -168905.093750, Y: 59403.277344, Z: -4421.683105, IconType: 11 | 0xB238F
Скайрим | Пещера Бронзовая Вода | X: 83828.562500, Y: 42748.429688, Z: -8720.000000, IconType: 4 | 0x46BAB
Скайрим | Пещера Волчий Череп | X: -97493.828125, Y: 107386.210938, Z: -5685.538574, IconType: 4 | 0x162D1
Скайрим | Пещера Говорящие Холмы | X: 103645.710938, Y: 20255.207031, Z: -8031.655273, IconType: 4 | 0x162C8
Скайрим | Пещера Желтый Камень | X: 193224.640625, Y: -84050.382813, Z: 10681.699219, IconType: 4 | 0x16243
Скайрим | Пещера Заблудшее Эхо | X: -127416.265625, Y: 101409.523438, Z: -7496.268555, IconType: 4 | 0xAF89B
Скайрим | Пещера Зеленая Тень | X: -75329.046875, Y: 124194.546875, Z: -12721.998047, IconType: 4 | 0x162A8
Скайрим | Пещера Каменной Пасти | X: 47758.660156, Y: 7021.108398, Z: -3514.277832, IconType: 4 | 0x250EBDFA
